product_name,brand,category,price,promo_price,volume_ml,rating,review_count,shade_count,finish_type,coverage_level,skin_type,availability,source_url
Light Reflecting Advanced Skincare Foundation,NARS,fond de teint,56.0,,30,4.5,732,47,,,sèche / sensible,en stock,https://www.narscosmetics.fr/fr/light-reflecting-advanced-skincare-foundation/999NAC0000141.html
Soin hydratant teinté Pure Radiant SPF 30/PA+++,NARS,fond de teint,51.0,,50,4.7,489,16,Rayonnant,,grasse / sèche / tous types,en stock,https://www.narscosmetics.fr/fr/soin-hydratant-teint%C3%A9-pure-radiant-spf-30-pa/999NACTINTED9.html
Soft Matte Complete Foundation,NARS,fond de teint,46.0,27.6,45,4.3,461,30,,,grasse / sèche,en stock,https://www.narscosmetics.fr/fr/soft-matte-complete-foundation/999NAC0000112.html
Natural Radiant Longwear Foundation,NARS,fond de teint,56.0,,30,4.4,821,33,,Moyenne à totale,sèche,en stock,https://www.narscosmetics.fr/fr/natural-radiant-longwear-foundation/999NAC0000065.html
Sheer Glow Foundation,NARS,fond de teint,52.0,,30,4.5,677,34,Naturel,,sèche,en stock,https://www.narscosmetics.fr/fr/sheer-glow-foundation/999NACSGLWF01.html
NATURAL MATTE LONGWEAR FOUNDATION,NARS,fond de teint,56.0,,30,4.7,188,45,,Moyenne à totale,grasse / sèche,en stock,https://www.narscosmetics.fr/fr/natural-matte-longwear-foundation/999NAC0000285.html
Soft Matte Complete Concealer,NARS,correcteur,37.0,,6.2,4.7,493,30,Lisse et mat,Totale,,en stock,https://www.narscosmetics.fr/fr/soft-matte-complete-concealer/999NAC0000045.html
Radiant Creamy Concealer,NARS,correcteur,37.0,,6,4.7,894,30,Rayonnant,,sèche / tous types,en stock,https://www.narscosmetics.fr/fr/radiant-creamy-concealer/999NACRCC0001.html
Mini Radiant Creamy Concealer,NARS,correcteur,19.0,,1.4,4.6,165,30,Rayonnant,,sèche / tous types,en stock,https://www.narscosmetics.fr/fr/mini-radiant-creamy-concealer/999NARSBTGRCC.html
LIGHT REFLECTING EYE BRIGHTENER,NARS,correcteur,39.0,,6,4.5,124,6,Lumineux,,sèche,en stock,https://www.narscosmetics.fr/fr/light-reflecting-eye-brightener/999NAC0000171.html
